1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.61495,0.99542,-0.27987,-0.56493,0.75668,0.516,-0.98361,-0.88597,0.37716,0.038899,0.099813,-0.44751,0.516,0.31031,0
-1.0361,0.84723,-0.64929,-1.1505,0.62021,1.3164,-1.1926,-1.011,1.9601,-0.26624,-0.34388,-0.043469,1.3164,0.96259,0
1.5455,1.0461,2.0558,1.5329,2.5639,-0.36019,-1.0917,-1.1338,0.76586,1.3887,0.878,-0.90503,-0.36019,-1.1092,0
-0.59936,0.91339,-0.26456,-0.54765,1.1525,0.31263,-0.91254,-0.82616,0.92242,0.64509,-0.23004,-1.0219,0.31263,0.2935,0
-0.9119,1.2743,-0.26803,-0.85172,0.88958,2.6613,-1.5357,-1.1143,-0.51112,-0.49032,-0.48066,0.13433,2.6613,0.60834,0
-0.98587,1.2518,-0.41315,-0.86626,1.0857,2.6481,-1.435,-1.1137,-0.45698,-0.18022,-0.10144,0.092684,2.6481,0.62448,0
0.61714,0.47872,0.62978,0.63141,0.061463,-0.026015,0.23376,0.0078131,-0.52832,0.97246,0.16524,-0.31143,-0.026015,-0.62219,0
-1.2142,1.0159,-0.67754,-1.1444,0.30246,2.329,-1.6503,-1.2398,-0.39156,-0.33606,-0.75641,-0.63642,2.329,0.95481,0
0.57114,0.42782,0.70801,0.58183,0.93786,-0.20376,-0.33949,-0.55732,-0.28996,0.59621,0.49783,-0.448,-0.20376,-0.59108,0
0.83487,0.64718,0.91464,0.8336,0.99537,-0.046393,-0.68301,-0.82509,-0.46233,1.0783,0.62057,-0.39382,-0.046393,-0.74388,0
1.2174,0.99606,1.5153,1.2126,1.6549,-0.028547,-0.91182,-0.95314,-0.59135,1.893,1.6066,-0.83402,-0.028547,-0.9516,0
1.2174,0.99606,1.5153,1.2126,1.6144,-0.028547,-0.90293,-0.95174,-0.3465,1.9825,2.3457,-0.5912,-0.028547,-0.9516,0
0.30959,0.21196,0.70718,0.33289,1.2821,-0.026443,-0.74644,-0.82133,-1.0509,0.071749,0.2687,-0.25313,-0.026443,-0.42657,0
-1.5285,0.20632,-1.1903,-1.4507,-0.036305,1.6494,-1.1911,-0.97234,-0.75075,-0.52153,-0.55311,-0.065162,1.6494,1.3738,0
-1.1539,0.4839,-0.78636,-0.84846,-0.037623,0.31126,-1.087,-0.94722,-0.071381,-0.86848,-0.70194,0.54214,0.31126,0.60473,0
-0.61132,1.7949,0.42292,0.031878,1.3642,2.824,-1.615,-1.1664,-0.018942,0.59577,-0.22882,-0.9898,2.824,-0.20715,0
